order_id,order_date,customer_id,product_id,store_id,quantity,unit_price_zar,discount,subtotal_zar,vat_zar,total_zar,payment_method,sales_channel,order_status
1,2025-01-30,1783.0,19,10,1,3125.17,0.0,3125.17,468.78,3593.95,Debit Card,Web,Completed
2,2025-01-28,1820.0,15,3,3,2038.29,0.2,6114.87,917.23,7032.1,Cash,Online,Cancelled
3,2024-12-16,2014.0,14,9,1,427.92,0.05,427.92,64.19,492.11,Debit Card,Online,Returned
4,2025-12-21,842.0,12,3,1,2542.21,0.2,2542.21,381.33,2923.54,EFT,Store,Pending
5,2024-12-27,849.0,7,6,1,2179.18,0.0,2179.18,326.88,2506.06,Unknown,Unknown,Pending
6,2024-09-06,1924.0,1,10,2,12793.94,0.0,25587.88,3838.18,29426.06,Card,Store,Cancelled
7,2024-01-21,1414.0,12,7,2,2701.1,0.15,5402.2,810.33,6212.53,Card,Store,Cancelled
8,2024-10-02,1045.0,12,4,1,3177.76,0.0,3177.76,476.66,3654.42,EFT,Online,Cancelled
9,2024-07-19,2119.0,20,9,3,2693.39,0.05,8080.17,1212.03,9292.2,EFT,Store,Completed
10,2025-12-13,651.0,3,10,2,6467.99,0.0,12935.98,1940.4,14876.38,Cash,Store,Completed
11,2025-03-22,611.0,10,3,1,2931.22,0.0,2931.22,439.68,3370.9,EFT,Online,Completed
12,2025-09-27,274.0,8,2,1,467.29,0.15,467.29,70.09,537.38,SnapScan,Store,Pending
13,2024-01-18,1734.0,6,4,3,5524.19,0.0,16572.57,2485.89,19058.46,Card,Store,Returned
14,2024-05-07,1103.0,6,9,3,4971.77,0.1,14915.31,2237.3,17152.61,EFT,Online,Completed
15,2024-11-29,766.0,8,1,3,439.8,0.2,1319.4,197.91,1517.31,Card,Online,Completed
16,2024-05-18,2067.0,2,7,1,1001.72,0.05,1001.72,150.26,1151.98,EFT,Online,Completed
17,2025-04-18,1505.0,19,5,1,3125.17,0.0,3125.17,468.78,3593.95,EFT,Online,Pending
18,2024-05-19,174.0,3,7,1,6144.59,0.05,6144.59,921.69,7066.28,PayFast,Store,Returned
19,2025-10-24,1655.0,17,8,4,7149.81,0.0,28599.24,4289.89,32889.13,PayFast,Store,Returned
20,2024-06-19,1030.0,17,7,2,6792.32,0.05,13584.64,2037.7,15622.34,EFT,Store,Completed
21,2025-09-10,1506.0,10,2,4,2784.66,0.05,11138.64,1670.8,12809.44,Card,Phone,Cancelled
22,2024-08-08,1996.0,7,1,1,1852.3,0.15,1852.3,277.84,2130.14,SnapScan,Web,Completed
23,2024-09-07,573.0,10,7,1,2931.22,0.0,2931.22,439.68,3370.9,Debit Card,Store,Cancelled
24,2025-04-19,1906.0,12,4,1,3177.76,0.0,3177.76,476.66,3654.42,PayFast,Store,Completed
25,2024-12-24,1211.0,12,1,2,3018.87,0.05,6037.74,905.66,6943.4,Card,Online,Pending
26,2025-07-18,1205.0,12,9,2,2542.21,0.2,5084.42,762.66,5847.08,Cash,Online,Cancelled
27,2024-01-12,1272.0,17,3,10,7149.81,0.0,71498.1,10724.72,82222.82,Cash,Store,Pending
28,2025-10-07,102.0,17,4,2,7149.81,0.0,14299.62,2144.94,16444.56,SnapScan,Store,Cancelled
29,2024-10-18,,20,6,1,2268.12,0.2,2268.12,340.22,2608.34,Debit Card,Store,Returned
30,2025-11-13,1776.0,17,1,3,6077.34,0.15,18232.02,2734.8,20966.82,Card,Online,Pending
31,2025-10-12,1548.0,11,8,1,267.18,0.0,267.18,40.08,307.26,Debit Card,Phone,Completed
32,2024-02-15,1616.0,8,1,1,549.75,0.0,549.75,82.46,632.21,EFT,Store,Completed
33,2025-08-04,622.0,14,9,1,450.44,0.0,450.44,67.57,518.01,EFT,Store,Completed
34,2024-08-12,1088.0,16,2,2,5399.1,0.0,10798.2,1619.73,12417.93,Card,Web,Pending
35,2025-01-16,1883.0,11,10,3,267.18,0.0,801.54,120.23,921.77,PayFast,Phone,Returned
36,2025-11-14,1338.0,17,3,2,6077.34,0.15,12154.68,1823.2,13977.88,Cash,Online,Returned
37,2025-03-20,1005.0,8,1,2,549.75,0.0,1099.5,164.92,1264.42,PayFast,Store,Returned
38,2024-09-20,211.0,19,5,1,3125.17,0.0,3125.17,468.78,3593.95,EFT,Online,Returned
39,2025-12-15,1902.0,5,2,2,12218.46,0.0,24436.92,3665.54,28102.46,Debit Card,Online,Cancelled
40,2024-09-05,1357.0,10,2,1,2784.66,0.05,2784.66,417.7,3202.36,Cash,Store,Pending
41,2024-06-06,1785.0,13,7,1,10475.43,0.0,10475.43,1571.31,12046.74,Card,Phone,Completed
42,2025-02-09,966.0,16,8,2,5129.15,0.05,10258.3,1538.74,11797.04,Cash,Online,Cancelled
43,2025-09-04,676.0,11,3,1,253.82,0.05,253.82,38.07,291.89,Card,Web,Completed
44,2025-03-14,35.0,5,9,2,12218.46,0.0,24436.92,3665.54,28102.46,Card,Store,Pending
45,2024-05-16,1931.0,6,1,1,4419.35,0.2,4419.35,662.9,5082.25,PayFast,Phone,Completed
46,2024-11-13,359.0,2,3,1,1054.44,0.0,1054.44,158.17,1212.61,Card,Online,Returned
47,2025-02-04,1.0,7,3,3,2070.22,0.05,6210.66,931.6,7142.26,Cash,Online,Completed
48,2024-10-18,2155.0,3,10,1,6144.59,0.05,6144.59,921.69,7066.28,EFT,Web,Returned
49,2025-09-13,2109.0,4,8,1,5989.4,0.0,5989.4,898.41,6887.81,Cash,Web,Completed
50,2025-01-02,667.0,16,8,5,5399.1,0.0,26995.5,4049.32,31044.82,Debit Card,Store,Completed
51,2024-08-03,964.0,10,6,1,2931.22,0.0,2931.22,439.68,3370.9,Card,Store,Pending
52,2025-04-04,483.0,5,2,1,10385.69,0.15,10385.69,1557.85,11943.54,Cash,Web,Completed
53,2025-05-08,1311.0,19,4,1,3125.17,0.0,3125.17,468.78,3593.95,PayFast,Online,Pending
54,2025-11-02,1240.0,7,8,1,2179.18,0.0,2179.18,326.88,2506.06,Card,Store,Cancelled
55,2024-07-10,129.0,9,7,3,1351.77,0.05,4055.31,608.3,4663.61,PayFast,Phone,Pending
56,2025-12-25,1842.0,5,6,1,12218.46,0.0,12218.46,1832.77,14051.23,EFT,Store,Returned
57,2024-04-05,673.0,9,7,2,1422.92,0.0,2845.84,426.88,3272.72,EFT,Online,Completed
58,2024-10-11,2101.0,20,8,4,2409.88,0.15,9639.52,1445.93,11085.45,Card,Web,Completed
59,2025-01-16,1478.0,11,10,1,267.18,0.0,267.18,40.08,307.26,SnapScan,Online,Cancelled
60,2025-11-27,865.0,5,6,2,10385.69,0.15,20771.38,3115.71,23887.09,SnapScan,Store,Pending
61,2025-09-18,2166.0,19,10,1,2500.14,0.2,2500.14,375.02,2875.16,Debit Card,Unknown,Pending
62,2024-02-15,1189.0,18,8,1,1481.68,0.0,1481.68,222.25,1703.93,Card,Store,Cancelled
63,2025-08-08,1710.0,15,10,1,2547.86,0.0,2547.86,382.18,2930.04,Cash,Phone,Returned
64,2024-09-17,159.0,8,10,1,549.75,0.0,549.75,82.46,632.21,EFT,Store,Returned
65,2025-03-16,979.0,13,1,1,10475.43,0.0,10475.43,1571.31,12046.74,SnapScan,Store,Completed
66,2025-09-06,67.0,17,5,2,6792.32,0.05,13584.64,2037.7,15622.34,PayFast,Online,Returned
67,2025-02-02,1178.0,4,4,2,5989.4,0.0,11978.8,1796.82,13775.62,EFT,Store,Completed
68,2025-10-24,1760.0,3,6,1,6144.59,0.05,6144.59,921.69,7066.28,PayFast,Web,Completed
69,2025-11-18,1058.0,6,5,1,5524.19,0.0,5524.19,828.63,6352.82,EFT,Phone,Cancelled
70,2025-07-09,400.0,10,5,2,2491.54,0.15,4983.08,747.46,5730.54,EFT,Store,Completed
71,2024-10-03,14.0,8,2,5,549.75,0.0,2748.75,412.31,3161.06,SnapScan,Online,Cancelled
72,2025-05-07,1906.0,17,2,2,7149.81,0.0,14299.62,2144.94,16444.56,Card,Phone,Completed
73,2025-07-12,723.0,13,4,4,8904.12,0.15,35616.48,5342.47,40958.95,SnapScan,Store,Completed
74,2024-12-16,260.0,6,3,1,4419.35,0.2,4419.35,662.9,5082.25,Debit Card,Web,Pending
75,2025-02-02,1440.0,1,6,3,12154.24,0.05,36462.72,5469.41,41932.13,Debit Card,Online,Completed
76,2025-10-14,687.0,7,10,2,1961.26,0.1,3922.52,588.38,4510.9,PayFast,Online,Pending
77,2025-01-31,2025.0,18,8,1,1481.68,0.0,1481.68,222.25,1703.93,Card,Store,Completed
78,2024-12-29,771.0,1,10,1,10874.85,0.15,10874.85,1631.23,12506.08,Debit Card,Web,Completed
79,2024-03-28,31.0,11,8,1,267.18,0.0,267.18,40.08,307.26,Card,Online,Returned
80,2025-07-20,557.0,16,8,10,4589.24,0.15,45892.4,6883.86,52776.26,Card,Web,Completed
81,2025-07-03,1299.0,8,5,3,549.75,0.0,1649.25,247.39,1896.64,Card,Phone,Completed
82,2024-06-05,561.0,9,7,1,1138.34,0.2,1138.34,170.75,1309.09,SnapScan,Phone,Cancelled
83,2024-11-03,308.0,16,5,1,5399.1,0.0,5399.1,809.87,6208.97,PayFast,Store,Completed
84,2025-09-05,563.0,17,10,3,7149.81,0.0,21449.43,3217.41,24666.84,Cash,Phone,Completed
85,2025-08-13,1304.0,4,3,1,4791.52,0.2,4791.52,718.73,5510.25,Cash,Phone,Completed
86,2025-12-08,327.0,18,10,2,1333.51,0.1,2667.02,400.05,3067.07,Debit Card,Store,Pending
87,2025-11-04,1278.0,14,2,1,382.87,0.15,382.87,57.43,440.3,Card,Online,Completed
88,2024-02-13,17.0,4,8,2,5989.4,0.0,11978.8,1796.82,13775.62,Cash,Online,Cancelled
89,2024-06-21,1015.0,3,6,1,5821.19,0.1,5821.19,873.18,6694.37,PayFast,Store,Pending
90,2024-06-22,1927.0,7,3,3,1743.34,0.2,5230.02,784.5,6014.52,Debit Card,Store,Pending
91,2024-07-11,2143.0,9,10,2,1422.92,0.0,2845.84,426.88,3272.72,SnapScan,Web,Completed
92,2024-10-26,1592.0,7,9,1,2070.22,0.05,2070.22,310.53,2380.75,SnapScan,Phone,Returned
93,2024-05-07,1104.0,8,10,2,549.75,0.0,1099.5,164.92,1264.42,Card,Store,Pending
94,2024-09-16,1662.0,19,4,2,2812.65,0.1,5625.3,843.79,6469.09,SnapScan,Store,Completed
95,2024-08-24,1020.0,5,1,10,10385.69,0.15,103856.9,15578.53,119435.43,PayFast,Store,Completed
96,2024-04-25,545.0,7,5,2,1852.3,0.15,3704.6,555.69,4260.29,PayFast,Store,Completed
97,2024-07-30,1694.0,4,6,1,5989.4,0.0,5989.4,898.41,6887.81,Card,Phone,Pending
98,2025-11-06,1332.0,14,7,2,450.44,0.0,900.88,135.13,1036.01,PayFast,Online,Cancelled
99,2024-07-11,847.0,13,6,3,8380.34,0.2,25141.02,3771.15,28912.17,Debit Card,Phone,Pending
100,2024-01-04,1792.0,2,5,1,1054.44,0.0,1054.44,158.17,1212.61,Card,Web,Completed
101,2024-07-27,1880.0,17,5,1,7149.81,0.0,7149.81,1072.47,8222.28,EFT,Store,Completed
102,2024-03-07,57.0,16,9,2,5399.1,0.0,10798.2,1619.73,12417.93,Debit Card,Online,Completed
103,2024-10-03,1129.0,16,7,1,5399.1,0.0,5399.1,809.87,6208.97,Card,Online,Cancelled
104,2025-07-18,1991.0,13,4,2,10475.43,0.0,20950.86,3142.63,24093.49,Cash,Online,Completed
105,2025-11-05,1044.0,4,5,2,5989.4,0.0,11978.8,1796.82,13775.62,Card,Online,Pending
106,2024-09-15,439.0,8,5,3,439.8,0.2,1319.4,197.91,1517.31,SnapScan,Online,Pending
107,2025-06-25,2171.0,6,8,1,5524.19,0.0,5524.19,828.63,6352.82,SnapScan,Online,Completed
108,2024-07-17,1398.0,1,8,1,10874.85,0.15,10874.85,1631.23,12506.08,Debit Card,Phone,Completed
109,2025-10-05,1114.0,19,4,1,2500.14,0.2,2500.14,375.02,2875.16,Unknown,Store,Returned
110,2024-07-19,1557.0,16,10,4,5399.1,0.0,21596.4,3239.46,24835.86,Cash,Store,Completed
111,2025-05-19,988.0,18,6,1,1333.51,0.1,1333.51,200.03,1533.54,Card,Online,Completed
112,2024-02-14,562.0,8,7,1,522.26,0.05,522.26,78.34,600.6,Card,Store,Returned
113,2024-08-07,1808.0,5,4,1,12218.46,0.0,12218.46,1832.77,14051.23,SnapScan,Store,Completed
114,2025-04-05,493.0,9,10,4,1422.92,0.0,5691.68,853.75,6545.43,SnapScan,Store,Completed
115,2025-07-03,384.0,9,10,3,1138.34,0.2,3415.02,512.25,3927.27,PayFast,Phone,Completed
116,2024-08-09,685.0,1,8,3,12793.94,0.0,38381.82,5757.27,44139.09,SnapScan,Online,Completed
117,2025-12-14,1138.0,1,7,1,12793.94,0.0,12793.94,1919.09,14713.03,EFT,Store,Cancelled
118,2025-11-14,400.0,19,1,1,3125.17,0.0,3125.17,468.78,3593.95,Card,Web,Completed
119,2024-07-21,735.0,7,4,1,2070.22,0.05,2070.22,310.53,2380.75,EFT,Online,Completed
120,2024-07-28,551.0,2,2,1,843.55,0.2,843.55,126.53,970.08,Debit Card,Online,Completed
121,2025-01-22,260.0,6,8,1,5524.19,0.0,5524.19,828.63,6352.82,PayFast,Store,Completed
122,2024-08-04,445.0,3,3,1,6144.59,0.05,6144.59,921.69,7066.28,PayFast,Online,Completed
